ObjectID,AccessionNumber,MediaXrefID,ImageURL,Filename,MediaType,MediaView,Rank,IsPrimary
98854,1946.316.1,89922,https://art.thewalters.org/images/raw/PS1_1946.316.1.31v-32r_OpnFnt_DD_AT18-035036-tms.jpg,PS1_1946.316.1.31v-32r_OpnFnt_DD_AT18-035036-tms.jpg,Image,front,38,0
98854,1946.316.1,89923,https://art.thewalters.org/images/raw/PS1_1946.316.1.43v-44r_OpnBack_DD_AT18-035032-tms.jpg,PS1_1946.316.1.43v-44r_OpnBack_DD_AT18-035032-tms.jpg,Image,back,39,0
98854,1946.316.1,89354,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000048_300-tms.jpg,CPS_1946.316.1_DD_000048_300-tms.jpg,Image,,1,1
19658,1976.76.55,104833,https://art.thewalters.org/images/raw/PS4_1976.76.55_Top_DD_AT25_63195.jpg,PS4_1976.76.55_Top_DD_AT25_63195.jpg,Image,top,2,0
19658,1976.76.55,104912,https://art.thewalters.org/images/raw/PS4_1976.76.55_3QtrBackTop_DD_AT25_63162.jpg,PS4_1976.76.55_3QtrBackTop_DD_AT25_63162.jpg,Image,top,3,0
19658,1976.76.55,104913,https://art.thewalters.org/images/raw/PS4_1976.76.55_3QtrFntTop_DD_AT25_63164.jpg,PS4_1976.76.55_3QtrFntTop_DD_AT25_63164.jpg,Image,top,4,0
19658,1976.76.55,104824,https://art.thewalters.org/images/raw/PS4_1976.76.55_DD_AT25_63211.jpg,PS4_1976.76.55_DD_AT25_63211.jpg,Image,front,5,0
19658,1976.76.55,104825,https://art.thewalters.org/images/raw/PS4_1976.76.55_DD_AT25_63214.jpg,PS4_1976.76.55_DD_AT25_63214.jpg,Image,front,6,0
19658,1976.76.55,104826,https://art.thewalters.org/images/raw/PS4_1976.76.55_Fnt_DD_AT25_63159.jpg,PS4_1976.76.55_Fnt_DD_AT25_63159.jpg,Image,front,7,0
19658,1976.76.55,104827,https://art.thewalters.org/images/raw/PS4_1976.76.55_Fnt3QtrRt_DD_AT25_63205.jpg,PS4_1976.76.55_Fnt3QtrRt_DD_AT25_63205.jpg,Image,three quarter right,8,0
19658,1976.76.55,104831,https://art.thewalters.org/images/raw/PS4_1976.76.55_Rt_DD_AT25_63171.jpg,PS4_1976.76.55_Rt_DD_AT25_63171.jpg,Image,right,9,0
19658,1976.76.55,104830,https://art.thewalters.org/images/raw/PS4_1976.76.55_Rt_DD_AT25_63156.jpg,PS4_1976.76.55_Rt_DD_AT25_63156.jpg,Image,right,10,0
19658,1976.76.55,104822,https://art.thewalters.org/images/raw/PS4_1976.76.55_Back_DD_AT25_63160.jpg,PS4_1976.76.55_Back_DD_AT25_63160.jpg,Image,back,11,0
19658,1976.76.55,104828,https://art.thewalters.org/images/raw/PS4_1976.76.55_Lft_DD_AT25_63154.jpg,PS4_1976.76.55_Lft_DD_AT25_63154.jpg,Image,left,12,0
19658,1976.76.55,104829,https://art.thewalters.org/images/raw/PS4_1976.76.55_Lft_DD_AT25_63168.jpg,PS4_1976.76.55_Lft_DD_AT25_63168.jpg,Image,left,13,0
19658,1976.76.55,104834,https://art.thewalters.org/images/raw/PS4_1976.76.55_Top3Qtr_DD_AT25_63216.jpg,PS4_1976.76.55_Top3Qtr_DD_AT25_63216.jpg,Image,three quarter,14,0
19658,1976.76.55,104823,https://art.thewalters.org/images/raw/PS4_1976.76.55_Bot_DD_AT25_63234.jpg,PS4_1976.76.55_Bot_DD_AT25_63234.jpg,Image,bottom,15,0
19658,1976.76.55,104832,https://art.thewalters.org/images/raw/PS4_1976.76.55_Top_DD_AT25_63194.jpg,PS4_1976.76.55_Top_DD_AT25_63194.jpg,Image,top,1,1
13281,1982.76.1,96275,https://art.thewalters.org/images/raw/PS4_1982.76.1_DD_AT21_27126-tms.jpg,PS4_1982.76.1_DD_AT21_27126-tms.jpg,Image,,2,0
13281,1982.76.1,96276,https://art.thewalters.org/images/raw/PS4_1982.76.1_DD_AT21_27134-tms.jpg,PS4_1982.76.1_DD_AT21_27134-tms.jpg,Image,,1,1
21963,1983.57.6,930,https://art.thewalters.org/images/raw/ARG_1983.57.6_Fnt_UK.jpg,ARG_1983.57.6_Fnt_UK.jpg,Image,Front,1,1
23184,1984.13.83,96279,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27157-tms.jpg,PS4_1984.13.83_DD_AT21_27157-tms.jpg,Image,,2,0
23184,1984.13.83,96280,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27161-tms.jpg,PS4_1984.13.83_DD_AT21_27161-tms.jpg,Image,,3,0
23184,1984.13.83,96281,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27162-tms.jpg,PS4_1984.13.83_DD_AT21_27162-tms.jpg,Image,,4,0
23184,1984.13.83,96282,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27164-tms.jpg,PS4_1984.13.83_DD_AT21_27164-tms.jpg,Image,,5,0
23184,1984.13.83,96283,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27165-tms.jpg,PS4_1984.13.83_DD_AT21_27165-tms.jpg,Image,,6,0
23184,1984.13.83,96284,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27167-tms.jpg,PS4_1984.13.83_DD_AT21_27167-tms.jpg,Image,,7,0
23184,1984.13.83,96285,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27168-tms.jpg,PS4_1984.13.83_DD_AT21_27168-tms.jpg,Image,,8,0
23184,1984.13.83,96286,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27170-tms.jpg,PS4_1984.13.83_DD_AT21_27170-tms.jpg,Image,,9,0
23184,1984.13.83,96287,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_27172-tms.jpg,PS4_1984.13.83_DD_AT21_27172-tms.jpg,Image,,10,0
23184,1984.13.83,96288,https://art.thewalters.org/images/raw/PS4_1984.13.83_Top_DD_AT21_27008-tms.jpg,PS4_1984.13.83_Top_DD_AT21_27008-tms.jpg,Image,top,11,0
23184,1984.13.83,96277,https://art.thewalters.org/images/raw/PS4_1984.13.83_Bot_DD_AT21_27009-tms.jpg,PS4_1984.13.83_Bot_DD_AT21_27009-tms.jpg,Image,bottom,12,0
23184,1984.13.83,96278,https://art.thewalters.org/images/raw/PS4_1984.13.83_DD_AT21_26861-tms.jpg,PS4_1984.13.83_DD_AT21_26861-tms.jpg,Image,,1,1
32017,1984.13.84,96291,https://art.thewalters.org/images/raw/PS4_1984.13.84_DD_AT21_26849-tms.jpg,PS4_1984.13.84_DD_AT21_26849-tms.jpg,Image,,2,0
32017,1984.13.84,96292,https://art.thewalters.org/images/raw/PS4_1984.13.84_DD_AT21_26852-tms.jpg,PS4_1984.13.84_DD_AT21_26852-tms.jpg,Image,,3,0
32017,1984.13.84,96293,https://art.thewalters.org/images/raw/PS4_1984.13.84_DD_AT21_26853-tms.jpg,PS4_1984.13.84_DD_AT21_26853-tms.jpg,Image,,4,0
32017,1984.13.84,96294,https://art.thewalters.org/images/raw/PS4_1984.13.84_DD_AT21_26854-tms.jpg,PS4_1984.13.84_DD_AT21_26854-tms.jpg,Image,,5,0
32017,1984.13.84,96295,https://art.thewalters.org/images/raw/PS4_1984.13.84_Top_DD_AT21_26856-tms.jpg,PS4_1984.13.84_Top_DD_AT21_26856-tms.jpg,Image,top,6,0
32017,1984.13.84,96289,https://art.thewalters.org/images/raw/PS4_1984.13.84_Bot_DD_AT21_26855-tms.jpg,PS4_1984.13.84_Bot_DD_AT21_26855-tms.jpg,Image,bottom,7,0
32017,1984.13.84,96290,https://art.thewalters.org/images/raw/PS4_1984.13.84_DD_AT21_26844-tms.jpg,PS4_1984.13.84_DD_AT21_26844-tms.jpg,Image,,1,1
