"ExhibitionID","ExhTitle","ExhibEndDate","ExhibBeginYear","ExhibEndYear","Textblock","WaltersArtworks"
"3171","Paradise Imagined: Images of the Garden in the Islamic and Christian World","23/9/2012"," 2012","2012","Paradise Imagined: Images of the Garden in the Islamic and Christian World. The Walters Art Museum, Baltimore. 2012.","800|4409|5462|6758|7308|7538|9111|9286|10729|11599|12111|13698|19379|20669|20980|21272|21519|23935|24994|25764|27149|28411|28534|30030|31766|33314|37288|37299|38101|38623|39609|77499|77598|77599|78090|78253|79967|79968|80986|81280|81477|81480|81895|81896|82753|83479|84223|84329|85643|85644|85645|85646|85647|85648|87606|87607|88800|88809"
"3160","Realistic Perfection: The Making of Oriental Ceramic Art","4/6/2011"," 2011","2011","Realistic Perfection: The Making of Oriental Ceramic Art. The Walters Art Museum, Baltimore. 2011.","37141|81716"
"2113","19th Century Masterpieces from the Walters Art Museum","2/1/2011"," 2010","2011","19th Century Masterpieces from the Walters Art Museum. Santa Barbara Museum of Art, Santa Barbara; Jack S. Blanton Museum of Art, Austin. 2010-2011.","1952|2067|3792|5408|7916|8084|8491|9417|10078|10097|10573|11173|16288|16473|17220|17847|19759|19883|20599|21331|21652|22652|22773|22922|23597|24760|27564|27675|27988|30480|31158|31455|32030|33812|35806|37377|37641|40555|40613|76361"
"2115","Treasures of Heaven","9/10/2011"," 2010","2011","Treasures of Heaven. The Cleveland Museum of Art, Cleveland; The Walters Art Museum, Baltimore; The British Museum, London. 2010-2011.","551|559|1458|2330|5868|7155|12202|12489|14654|16876|17342|17493|18691|19177|19397|20337|21139|22284|22506|22682|25190|26999|29555|29714|29857|30027|30186|30497|30922|31121|31190|31677|34878|35007|36029|36145|36821|39264|79285"
"2089","Heroes: Mortals and Myths in Ancient Greece","2/1/2011"," 2009","2011","Heroes: Mortals and Myths in Ancient Greece. The Walters Art Museum, Baltimore; Frist Center for the Visual Arts, Nashville; San Diego Museum Of Art, San Diego; Alexander S. Onassis Public Benefit Foundation (USA), New York. 2009-2011.","62|2427|3127|3131|3149|3696|4764|6466|6514|6825|7482|7599|7657|7886|8268|8994|9299|9345|9977|10553|10902|11819|12507|12835|13447|13467|13699|13970|14859|16602|16642|16991|18168|19363|19507|19771|20733|21555|25817|26335|27241|28158|28849|30822|31125|32266|32454|34022|34443|35108|35560|36031|36555|37517|37884|38598|38630|38985|39632"
"2987","Setting Sail: Drawings of the Sea from WAM","11/9/2011"," 2011","2011","Setting Sail: Drawings of the Sea from WAM. The Walters Art Museum, Baltimore. 2011.","6855|8461|8486|8871|9129|9678|11459|11711|12752|19149|20700|21629|22415|30353|30919|32788|36010|39358"
"2831","Beasts on Parchment: Picturing Animals in Medieval Manuscripts","6/2/2011"," 2010","2011","Beasts on Parchment: Picturing Animals in Medieval Manuscripts. The Walters Art Museum, Baltimore. 2010-2011.","385|1272|2494|3294|4149|4405|5724|7308|8054|9218|10356|12654|14097|15178|15540|18640|29598|30095|30467|30894|31005|32502|38018|81695"
"2832","German Drawings from the Walters Collection","13/2/2011"," 2010","2011","German Drawings from the Walters Collection. The Walters Art Museum, Baltimore. 2010-2011.","254|288|2096|2165|6635|7249|7970|8101|17414|19806|33086|36288|36520|37896|40001"
"2825","The Christmas Story: Picturing the Birth of Christ in Medieval Manuscripts","28/2/2010"," 2009","2010","The Christmas Story: Picturing the Birth of Christ in Medieval Manuscripts. The Walters Art Museum, Baltimore. 2009-2010.","780|2767|7328|8115|13698|15178|15523|15887|17377|18640|19300|21184|24311|25205|27276|28630|31378|31403|31958|36136|38246|39071|39264|39384"
"2827","Poetry and Prayer: Islamic Manuscripts from the Walters Art Museum","13/6/2010"," 2010","2010","Poetry and Prayer: Islamic Manuscripts from the Walters Art Museum. The Walters Art Museum, Baltimore. 2010.","1528|1699|1759|3375|3513|4855|5313|7538|12645|19195|19874|21516|21519|23935|25935|30103|30391|30971|31176|31668|33204|37443|38427|39988|40564|76569|77496|79097|79633|79714|80024|80053|81128|81129|81211|82687"
"2828","Expanding Horizons: Recent Additions to the Drawings Collection","3/7/2010"," 2010","2010","Expanding Horizons: Recent Additions to the Drawings Collection. The Walters Art Museum, Baltimore. 2010.","77225|77226|79164|79165|79166|79167|79168|79169|79170|79172|79173|79174|79176|79177|79178|79180|79182|79183|79184|79185|79186|79187|79188"
"2829","Checkmate! Medieval People at Play","10/10/2010"," 2010","2010","Checkmate! Medieval People at Play. The Walters Art Museum, Baltimore. 2010.","1989|2162|5178|5255|5292|6861|8971|9668|10604|12111|13014|13018|13279|14743|15748|17170|18374|20202|20481|21368|21564|23682|24116|24777|24994|26234|26617|27938|28855|29517|31025|31039|31305|32774|34963|34985|35023|36269|77559|77741|78205|78206|78634|79127|80986|81155|81156|81157|81314|81315|81316|81317|81318|81319|81320|81321|81322|81323|81324"
"2830","Great Illustrations: Drawings and Books from the Walters' Collection","24/10/2010"," 2010","2010","Great Illustrations: Drawings and Books from the Walters' Collection. The Walters Art Museum, Baltimore. 2010.","2306|3484|9628|10734|12357|12364|17374|19948|26637|29408|39141|39597|81395|81396"
